formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
DME/DEA,TFSI,2.0,20.0,32.2,11.2,8071.0,12703.0,4176748.0,10.2,13.6,90.12,115.17,280.15,0.233544457522934,0.4670889150458681,0.1496833137155989,135.53372116858102,177.36010258286555,209.7630622823716,0.12951,0.51994,0.35055,0.46316,1.85942,1.25364,3.57622,0.70375,0.41353,0.19443,1174.50476,237.33144,0.64092
DMSO/DCD,PF6,2.0,29.8,3.2,-6.2,679.0,19869.0,9886.0,19.3,16.7,78.14,156.95,144.964,0.2189065181604847,0.4378130363209694,0.1716402227592728,104.6290690568062,143.47530021417475,98.22421574221886,0.3105520851,0.03382327326,0.6556246416,1.27238964,0.13858024,2.68621607,4.09718595,0.009195186,0.94570407,0.009272716,1661.53711,170.087448,0.78408
DMA/DCD,TFSI,2.0,27.8,3.2,11.2,31374.0,19869.0,4176748.0,13.6,16.7,87.12,156.95,280.15,0.2171986585810846,0.4343973171621692,0.1742020121283731,130.98940364974786,143.47530021417475,209.7630622823716,0.30357,0.08504,0.61139,1.09093,0.30561,2.19715,3.59369,0.18042,0.87752,0.00596,1653.74206,211.05087,0.80204
THF/DME,TFSI,2.0,20.0,20.0,11.2,8028.0,8071.0,4176748.0,8.0,10.2,72.11,90.12,280.15,0.2494138773881378,0.4988277547762757,0.1258791839177932,108.8495765108916,135.53372116858102,209.7630622823716,0.22995,0.41075,0.35929,0.79945,1.428,1.24911,3.47656,0.59667,0.63978,0.18536,1156.15222,189.96336,0.5047
DME/MPL,TFSI,2.0,20.0,27.3,11.2,8071.0,13387.0,4176748.0,10.2,13.3,90.12,99.13,280.15,0.2407596448313719,0.4815192896627439,0.138860532752942,135.53372116858102,139.65543911138744,209.7630622823716,0.17729,0.43405,0.38866,0.61768,1.51224,1.35412,3.48404,0.64386,0.56583,0.07845,1256.43457,199.76682,0.57676
MPL/DCM,PF6,1.0,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.282647160243981,0.565294320487962,0.0760292596340284,139.65543911138744,88.23001018449519,98.22421574221886,0.6024218526,2.26e-06,0.3975758908,2.39998281,8.99e-06,1.58389889,3.98389069,0.397882508,0.9999988,0.078294962,1299.65723,131.718079,0.26899
MPL/DCM,TFSI,2.5,27.3,1.0,11.2,13387.0,6344.0,4176748.0,13.3,20.4,99.13,84.93,280.15,0.2301522457105375,0.460304491421075,0.1547716314341937,139.65543911138744,88.23001018449519,209.7630622823716,0.37365,9e-05,0.62626,1.38993,0.00033,2.3296,3.71986,0.13767,0.99989,0.00624,1508.7793,169.03947,0.672475
MPL/DCM,TFSI,1.5,27.3,1.0,11.2,13387.0,6344.0,4176748.0,13.3,20.4,99.13,84.93,280.15,0.2626760914848291,0.5253521829696582,0.1059858627727562,139.65543911138744,88.23001018449519,209.7630622823716,0.47143,0.00033,0.52824,1.78588,0.00124,2.00107,3.78819,0.29341,0.99975,0.0072,1403.7334,151.46527,0.403485
MPL/DCD,TFSI,1.0,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2613654778022299,0.5227309556044599,0.107951783296655,139.65543911138744,143.47530021417475,209.7630622823716,0.51122,0.03277,0.45602,1.83346,0.11752,1.63549,3.5864700000000003,0.27719,0.97583,0.04323,1587.26721,185.03133,0.4130299999999999
MPL/DME,TFSI,1.0,27.3,20.0,11.2,13387.0,8071.0,4176748.0,13.3,10.2,99.13,90.12,280.15,0.2809983308699146,0.5619966617398293,0.078502503695128,139.65543911138744,135.53372116858102,209.7630622823716,0.27181,0.42114,0.30706,0.8816,1.36594,0.99592,3.24346,0.75694,0.80926,0.21789,1081.49329,183.83679,0.27937
