molecule,cid,dn,an,volume A3,mass,Ne in volume,Ne total
DMSO,679,29.8,19.3,104.62906905680619,78.12899999999998,25.72227553450054,42.0
DCM,6344,1.0,20.4,88.23001018449519,84.92699999999999,19.81223266022018,42.0
DCD,19869,3.2,16.7,143.47530021417475,156.94600000000003,45.89525759209999,78.0
DEA,12703,32.2,13.6,177.36010258286555,115.17599999999997,47.59178809360941,64.000001
MPL,13387,27.3,13.3,139.65543911138744,99.133,39.651012697464736,54.0
DME,8071,20.0,10.2,135.53372116858102,90.12199999999999,37.64045693062558,50.0
DMA,31374,27.8,13.6,130.98940364974786,87.12199999999997,35.6017238994295,47.999999
TFSI,4176748,11.2,,209.7630622823716,280.13541897799996,91.7481051736525,136.000001
FSI,5257893,,,141.08788702493268,180.119806326,56.066203449201396,88.0
PF6,9886,-6.2,,98.22421574221886,144.96418097600002,47.90229165802278,67.999999
BF4,26255,7.3,,72.88470609916,86.803612652,31.788082217414466,40.000001
NO3,943,22.2,,67.21528581298287,62.004000000000005,23.78404430661326,30.000001
ACN,6342,14.1,18.9,67.23175073152937,41.053000000000004,15.767593976012353,22.0
THF,8028,20.0,8.0,108.8495765108916,72.10699999999997,29.80445056202504,40.0
PC,7924,15.1,18.3,122.82280405068536,102.08899999999997,39.81277234070335,53.999999
EA,8857,17.1,9.3,126.53838733601151,88.10599999999997,35.62392800318742,48.000001
DMC,12021,17.1,,113.9152831170305,90.07799999999997,35.63590286392944,48.0
BTFE,9528,0.9,,154.6110734577889,182.06541897800005,67.65006486051061,89.999999
TTE,2776662,1.9,,187.76044279806948,232.073225304,85.6575422479704,114.000001
heptane,8900,0.0,,182.0361394500707,100.20499999999996,43.63260922672533,58.000001
fluorobenzene,10008,3.0,,123.59665522237071,96.10440316299997,35.598687832982165,50.000001
"1,3-dimethylbenzene",7929,5.0,,165.66452210867052,106.16799999999998,41.58875855384517,58.0
cumene,7406,6.0,,188.33122664101472,120.19499999999996,47.53972310980468,65.999999
"1,3,5-trimethylbenzene",7947,10.0,,188.83066250359178,120.19499999999996,47.55671319142693,66.0
2-methyltetrahydrofuran,7301,12.0,,132.6468721167619,86.13399999999999,35.634237234111524,48.0
sulfolane,31347,14.8,,142.49838171374927,120.16599999999995,41.649730904261084,64.000002
ethoxybenzene,7674,8.0,,175.9935143435063,122.16699999999997,47.5834477715934,66.0
tetraglyme,8925,16.6,,310.87961538259174,222.28100000000003,91.31336428565554,122.0
PP,180,17.0,,92.91702366406467,58.08,23.737878297333786,32.000001
MA,6584,16.5,,102.92220583415268,74.07899999999998,29.67754720903215,40.000001
O2O,7302,18.0,,111.09429373939734,86.08999999999997,33.69350029337103,46.0
PI,1049,33.1,,112.66394930749672,79.10199999999999,29.656643229892367,42.000001
DMF,6228,26.6,,108.98129585926357,73.09499999999998,29.672941899885146,40.000001
BZN,7505,11.9,,142.76182041049321,103.12399999999998,37.58572276890247,53.999999
